Timestamp,Age group,Gender,Do you own a car?,Marital status,Customise vehicle,Spending on customisation,Designing your own car,Spending on design,3D experience,Design ideas,factor_Price,factor_Brand name,factor_Aesthetics,factor_Technological features,factor_Functionality,factor_Size,factor_Sustainability/environment considerations,factor_Customisable options,exterior_Wheels,exterior_Bumpers,exterior_Grilles,exterior_Headlights,exterior_Side mirrors,interior_Centre compartment,interior_Dashboard,interior_Steering wheel,interior_Sun blocker for front passengers,interior_Door handles,interior_air vent
2021/10/08 1:52:53 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Likely,500-1000,No,500-1000,"No, I would need a designer to model my sketch",Nil,factor_Price_y,factor_Brand name_n,factor_Aesthetics_n,factor_Technological features_n,factor_Functionality_n,factor_Size_n,factor_Sustainability/environment considerations_n,factor_Customisable options_n,exterior_Wheels_y,exterior_Bumpers_n,exterior_Grilles_n,exterior_Headlights_n,exterior_Side mirrors_n,interior_Centre compartment_y,interior_Dashboard_n,interior_Steering wheel_n,interior_Sun blocker for front passengers_n,interior_Door handles_n,interior_air vent_n
2021/10/08 1:53:16 PM GMT+8,20-30,Male,Own more than one car,Single,Likely,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch",,factor_Price_y,factor_Brand name_y,factor_Aesthetics_y,factor_Technological features_y,factor_Functionality_y,factor_Size_y,factor_Sustainability/environment considerations_n,factor_Customisable options_n,exterior_Wheels_y,exterior_Bumpers_y,exterior_Grilles_n,exterior_Headlights_n,exterior_Side mirrors_n,interior_Centre compartment_y,interior_Dashboard_y,interior_Steering wheel_n,interior_Sun blocker for front passengers_n,interior_Door handles_n,interior_air vent_n
2021/10/08 1:59:56 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Likely,500-1000,No,500-1000,"No, I would need a designer to model my sketch",,factor_Price_y,factor_Brand name_n,factor_Aesthetics_n,factor_Technological features_y,factor_Functionality_y,factor_Size_n,factor_Sustainability/environment considerations_n,factor_Customisable options_n,exterior_Wheels_y,exterior_Bumpers_n,exterior_Grilles_y,exterior_Headlights_n,exterior_Side mirrors_n,interior_Centre compartment_n,interior_Dashboard_y,interior_Steering wheel_y,interior_Sun blocker for front passengers_n,interior_Door handles_n,interior_air vent_n
2021/10/08 2:11:52 PM GMT+8,51-60,Female,Own a car,Married with children,Likely,under 500,Only with professional help,over 1000,"No, I would need a designer to model my sketch",It rains a lot so an umbrella holder or extendable shelter ,factor_Price_y,factor_Brand name_y,factor_Aesthetics_n,factor_Technological features_n,factor_Functionality_y,factor_Size_n,factor_Sustainability/environment considerations_n,factor_Customisable options_n,exterior_Wheels_n,exterior_Bumpers_n,exterior_Grilles_y,exterior_Headlights_n,exterior_Side mirrors_n,interior_Centre compartment_y,interior_Dashboard_y,interior_Steering wheel_n,interior_Sun blocker for front passengers_y,interior_Door handles_n,interior_air vent_n
2021/10/08 2:23:51 PM GMT+8,20-30,Male,Own a car,Single,Likely,0,Only with professional help,0,"No, I would need a designer to model my sketch",,factor_Price_y,factor_Brand name_y,factor_Aesthetics_y,factor_Technological features_n,factor_Functionality_y,factor_Size_y,factor_Sustainability/environment considerations_n,factor_Customisable options_n,exterior_Wheels_n,exterior_Bumpers_n,exterior_Grilles_n,exterior_Headlights_n,exterior_Side mirrors_n,interior_Centre compartment_y,interior_Dashboard_y,interior_Steering wheel_y,interior_Sun blocker for front passengers_n,interior_Door handles_y,interior_air vent_n
2021/10/08 2:27:25 PM GMT+8,20-30,Male,Own a car,Single,Likely,under 500,No,under 500,"No, I would need a designer to model my sketch",,factor_Price_y,factor_Brand name_y,factor_Aesthetics_y,factor_Technological features_y,factor_Functionality_y,factor_Size_y,factor_Sustainability/environment considerations_y,factor_Customisable options_n,exterior_Wheels_n,exterior_Bumpers_n,exterior_Grilles_n,exterior_Headlights_n,exterior_Side mirrors_n,interior_Centre compartment_y,interior_Dashboard_y,interior_Steering wheel_y,interior_Sun blocker for front passengers_n,interior_Door handles_n,interior_air vent_n
2021/10/08 3:06:13 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Likely,under 500,Only with professional help,500-1000,"No, I would need a designer to model my sketch",,factor_Price_y,factor_Brand name_n,factor_Aesthetics_y,factor_Technological features_y,factor_Functionality_y,factor_Size_n,factor_Sustainability/environment considerations_n,factor_Customisable options_n,exterior_Wheels_y,exterior_Bumpers_n,exterior_Grilles_n,exterior_Headlights_n,exterior_Side mirrors_n,interior_Centre compartment_y,interior_Dashboard_y,interior_Steering wheel_n,interior_Sun blocker for front passengers_n,interior_Door handles_n,interior_air vent_n
2021/10/08 8:13:31 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Likely,500-1000,Only with professional help,under 500,"No, I would need a designer to model my sketch","many places to hook plastic bag, instead of the usual behind the headrest hooks",factor_Price_y,factor_Brand name_y,factor_Aesthetics_y,factor_Technological features_y,factor_Functionality_y,factor_Size_y,factor_Sustainability/environment considerations_y,factor_Customisable options_y,exterior_Wheels_y,exterior_Bumpers_n,exterior_Grilles_n,exterior_Headlights_n,exterior_Side mirrors_n,interior_Centre compartment_y,interior_Dashboard_y,interior_Steering wheel_y,interior_Sun blocker for front passengers_n,interior_Door handles_y,interior_air vent_n
2021/10/08 9:13:10 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Likely,under 500,Only with professional help,over 1000,"No, I would need a designer to model my sketch",,factor_Price_y,factor_Brand name_n,factor_Aesthetics_n,factor_Technological features_n,factor_Functionality_y,factor_Size_y,factor_Sustainability/environment considerations_y,factor_Customisable options_n,exterior_Wheels_y,exterior_Bumpers_y,exterior_Grilles_n,exterior_Headlights_y,exterior_Side mirrors_y,interior_Centre compartment_y,interior_Dashboard_y,interior_Steering wheel_n,interior_Sun blocker for front passengers_n,interior_Door handles_y,interior_air vent_n
2021/10/08 9:30:08 PM GMT+8,31-40,Male,Own more than one car,Married with children,Not likely,0,No,over 1000,"Yes, I can design on my own",BTS,factor_Price_y,factor_Brand name_n,factor_Aesthetics_n,factor_Technological features_n,factor_Functionality_n,factor_Size_n,factor_Sustainability/environment considerations_n,factor_Customisable options_n,exterior_Wheels_n,exterior_Bumpers_y,exterior_Grilles_n,exterior_Headlights_n,exterior_Side mirrors_n,interior_Centre compartment_n,interior_Dashboard_y,interior_Steering wheel_n,interior_Sun blocker for front passengers_n,interior_Door handles_n,interior_air vent_n
2021/10/08 9:32:33 PM GMT+8,51-60,Male,Own a car,Married with children,Likely,under 500,Only with professional help,under 500,"No, I would need a designer to model my sketch",Digital NFT on the control screen,factor_Price_y,factor_Brand name_y,factor_Aesthetics_n,factor_Technological features_y,factor_Functionality_y,factor_Size_y,factor_Sustainability/environment considerations_y,factor_Customisable options_n,exterior_Wheels_n,exterior_Bumpers_y,exterior_Grilles_y,exterior_Headlights_n,exterior_Side mirrors_n,interior_Centre compartment_y,interior_Dashboard_y,interior_Steering wheel_y,interior_Sun blocker for front passengers_n,interior_Door handles_n,interior_air vent_n
2021/10/08 9:50:45 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Likely,0,Only with professional help,0,"No, I would need a designer to model my sketch",,factor_Price_y,factor_Brand name_y,factor_Aesthetics_n,factor_Technological features_y,factor_Functionality_y,factor_Size_y,factor_Sustainability/environment considerations_y,factor_Customisable options_y,exterior_Wheels_n,exterior_Bumpers_y,exterior_Grilles_y,exterior_Headlights_n,exterior_Side mirrors_y,interior_Centre compartment_y,interior_Dashboard_y,interior_Steering wheel_y,interior_Sun blocker for front passengers_n,interior_Door handles_y,interior_air vent_n
2021/10/08 9:54:55 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Likely,under 500,No,under 500,"No, I would need a designer to model my sketch",,factor_Price_y,factor_Brand name_n,factor_Aesthetics_n,factor_Technological features_n,factor_Functionality_y,factor_Size_y,factor_Sustainability/environment considerations_n,factor_Customisable options_n,exterior_Wheels_y,exterior_Bumpers_n,exterior_Grilles_n,exterior_Headlights_n,exterior_Side mirrors_y,interior_Centre compartment_n,interior_Dashboard_y,interior_Steering wheel_y,interior_Sun blocker for front passengers_n,interior_Door handles_y,interior_air vent_n
2021/10/08 11:57:27 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Likely,under 500,Only with professional help,under 500,"No, I would need a designer to model my sketch",,factor_Price_y,factor_Brand name_n,factor_Aesthetics_n,factor_Technological features_y,factor_Functionality_n,factor_Size_n,factor_Sustainability/environment considerations_y,factor_Customisable options_n,exterior_Wheels_y,exterior_Bumpers_n,exterior_Grilles_n,exterior_Headlights_n,exterior_Side mirrors_n,interior_Centre compartment_n,interior_Dashboard_n,interior_Steering wheel_y,interior_Sun blocker for front passengers_n,interior_Door handles_n,interior_air vent_n
2021/10/10 1:12:50 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Likely,0,Only with professional help,0,"No, I would need a designer to model my sketch",bubble tea cup holder inside the car ,factor_Price_y,factor_Brand name_n,factor_Aesthetics_n,factor_Technological features_n,factor_Functionality_y,factor_Size_n,factor_Sustainability/environment considerations_y,factor_Customisable options_n,exterior_Wheels_n,exterior_Bumpers_y,exterior_Grilles_y,exterior_Headlights_n,exterior_Side mirrors_n,interior_Centre compartment_y,interior_Dashboard_n,interior_Steering wheel_y,interior_Sun blocker for front passengers_n,interior_Door handles_y,interior_air vent_n
2021/10/11 8:59:09 AM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Likely,500-1000,Yes,500-1000,"No, I would need a designer to model my sketch",,factor_Price_y,factor_Brand name_n,factor_Aesthetics_y,factor_Technological features_y,factor_Functionality_y,factor_Size_y,factor_Sustainability/environment considerations_n,factor_Customisable options_n,exterior_Wheels_y,exterior_Bumpers_y,exterior_Grilles_y,exterior_Headlights_n,exterior_Side mirrors_y,interior_Centre compartment_y,interior_Dashboard_y,interior_Steering wheel_y,interior_Sun blocker for front passengers_n,interior_Door handles_y,interior_air vent_n
2021/10/11 3:27:35 PM GMT+8,20-30,Female,Own a car,Single,Likely,under 500,Only with professional help,under 500,"No, I would need a designer to model my sketch",,factor_Price_y,factor_Brand name_n,factor_Aesthetics_y,factor_Technological features_y,factor_Functionality_y,factor_Size_n,factor_Sustainability/environment considerations_y,factor_Customisable options_y,exterior_Wheels_n,exterior_Bumpers_n,exterior_Grilles_y,exterior_Headlights_n,exterior_Side mirrors_n,interior_Centre compartment_y,interior_Dashboard_y,interior_Steering wheel_y,interior_Sun blocker for front passengers_n,interior_Door handles_y,interior_air vent_n
2021/10/11 7:53:03 PM GMT+8,41-50,Male,Own a car,Single,Likely,under 500,Yes,under 500,"No, I would need a designer to model my sketch",,factor_Price_y,factor_Brand name_n,factor_Aesthetics_n,factor_Technological features_n,factor_Functionality_n,factor_Size_n,factor_Sustainability/environment considerations_n,factor_Customisable options_n,exterior_Wheels_y,exterior_Bumpers_n,exterior_Grilles_n,exterior_Headlights_n,exterior_Side mirrors_n,interior_Centre compartment_n,interior_Dashboard_n,interior_Steering wheel_y,interior_Sun blocker for front passengers_n,interior_Door handles_n,interior_air vent_n
2021/10/11 7:53:23 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Likely,under 500,Only with professional help,0,"No, I would need a designer to model my sketch",,factor_Price_y,factor_Brand name_y,factor_Aesthetics_y,factor_Technological features_n,factor_Functionality_n,factor_Size_y,factor_Sustainability/environment considerations_n,factor_Customisable options_n,exterior_Wheels_y,exterior_Bumpers_n,exterior_Grilles_n,exterior_Headlights_y,exterior_Side mirrors_y,interior_Centre compartment_y,interior_Dashboard_y,interior_Steering wheel_y,interior_Sun blocker for front passengers_n,interior_Door handles_n,interior_air vent_n
2021/10/11 7:54:49 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Likely,under 500,Yes,under 500,"No, I would need a designer to model my sketch",,factor_Price_y,factor_Brand name_y,factor_Aesthetics_y,factor_Technological features_n,factor_Functionality_n,factor_Size_y,factor_Sustainability/environment considerations_n,factor_Customisable options_n,exterior_Wheels_y,exterior_Bumpers_n,exterior_Grilles_n,exterior_Headlights_n,exterior_Side mirrors_y,interior_Centre compartment_n,interior_Dashboard_y,interior_Steering wheel_y,interior_Sun blocker for front passengers_n,interior_Door handles_n,interior_air vent_n
2021/10/11 7:55:34 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Likely,under 500,No,under 500,"No, I would need a designer to model my sketch",,factor_Price_y,factor_Brand name_y,factor_Aesthetics_n,factor_Technological features_y,factor_Functionality_y,factor_Size_y,factor_Sustainability/environment considerations_n,factor_Customisable options_n,exterior_Wheels_y,exterior_Bumpers_n,exterior_Grilles_y,exterior_Headlights_y,exterior_Side mirrors_n,interior_Centre compartment_y,interior_Dashboard_n,interior_Steering wheel_y,interior_Sun blocker for front passengers_n,interior_Door handles_y,interior_air vent_n
2021/10/11 7:55:39 PM GMT+8,20-30,Female,Own a car,Single,Likely,0,Only with professional help,0,"No, I would need a designer to model my sketch",,factor_Price_y,factor_Brand name_y,factor_Aesthetics_y,factor_Technological features_y,factor_Functionality_y,factor_Size_y,factor_Sustainability/environment considerations_n,factor_Customisable options_n,exterior_Wheels_y,exterior_Bumpers_n,exterior_Grilles_n,exterior_Headlights_y,exterior_Side mirrors_y,interior_Centre compartment_n,interior_Dashboard_n,interior_Steering wheel_n,interior_Sun blocker for front passengers_n,interior_Door handles_y,interior_air vent_n
2021/10/11 7:55:46 PM GMT+8,31-40,Male,Own a car,Married with children,Likely,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch",Petrol is expensive in Singapore. Car that is very fuel efficiency. EV is welcome as well,factor_Price_y,factor_Brand name_n,factor_Aesthetics_n,factor_Technological features_n,factor_Functionality_y,factor_Size_y,factor_Sustainability/environment considerations_n,factor_Customisable options_n,exterior_Wheels_n,exterior_Bumpers_n,exterior_Grilles_y,exterior_Headlights_y,exterior_Side mirrors_y,interior_Centre compartment_y,interior_Dashboard_y,interior_Steering wheel_n,interior_Sun blocker for front passengers_n,interior_Door handles_n,interior_air vent_n
2021/10/11 7:55:48 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Likely,over 1000,Only with professional help,over 1000,"Yes, I can design on my own",,factor_Price_n,factor_Brand name_n,factor_Aesthetics_n,factor_Technological features_n,factor_Functionality_n,factor_Size_n,factor_Sustainability/environment considerations_n,factor_Customisable options_n,exterior_Wheels_y,exterior_Bumpers_n,exterior_Grilles_n,exterior_Headlights_n,exterior_Side mirrors_n,interior_Centre compartment_n,interior_Dashboard_y,interior_Steering wheel_n,interior_Sun blocker for front passengers_n,interior_Door handles_n,interior_air vent_n
